	SRR1	SRR2	SRR3	SRR4	SRR5	SRR6	SRR7	SRR8
ENSG0000001272	126	116	120	165	123	124	124	182
ENSG0000001273	18	11	7	16	10	11	5	6
ENSG0000001274	33	33	25	50	32	42	30	41
ENSG0000001275	347	310	305	327	290	291	392	348
ENSG0000001276	54	57	57	76	65	77	46	65
ENSG0000001277	1880	1822	1804	1810	1742	1656	1764	1725
ENSG0000001278	106	81	96	128	101	102	86	102
ENSG0000001279	72	84	85	60	61	62	82	83
ENSG0000001280	26	44	39	30	41	31	32	35
ENSG0000001281	72	55	74	56	80	69	60	61
ENSG0000001282	38	46	52	46	40	55	31	44
ENSG0000001283	144	135	166	153	150	152	184	192
ENSG0000001284	231	231	211	202	280	255	239	236
ENSG0000001285	6	9	17	15	14	10	12	8
ENSG0000001286	8	5	10	13	8	6	8	1
ENSG0000001287	3	1	2	2	10	2	2	5
ENSG0000001288	115	152	98	117	102	145	111	118
ENSG0000001289	4	11	12	9	7	10	15	8
ENSG0000001290	1	6	4	5	2	1	2	1
ENSG0000001291	81	101	68	112	100	90	84	101
ENSG0000001292	2369	2260	2235	2226	2313	2179	2253	2201
ENSG0000001293	52	49	45	58	63	79	43	58
ENSG0000001294	185	179	168	235	169	141	172	189
ENSG0000001295	47	81	70	59	66	62	52	74
ENSG0000001296	39	51	66	54	75	38	49	28
ENSG0000001297	180	262	233	213	181	208	165	221
ENSG0000001298	53	35	30	27	26	35	35	37
ENSG0000001299	88	85	90	90	88	76	67	75
ENSG0000001300	106	82	103	111	99	110	101	77
ENSG0000001301	24	28	22	15	36	15	23	23
ENSG0000001302	243	236	258	231	238	250	238	205
ENSG0000001303	24	41	31	29	43	32	38	37
ENSG0000001304	20	16	10	20	19	22	20	26
ENSG0000001305	87	154	137	105	122	116	117	116
ENSG0000001306	14	20	13	16	12	18	20	21
ENSG0000001307	61	50	56	66	47	63	59	67
ENSG0000001308	55	63	53	70	57	57	46	33
ENSG0000001309	317	258	261	299	253	254	254	306
ENSG0000001310	136	85	134	100	112	150	114	94
ENSG0000001311	54	66	65	51	46	66	42	53
ENSG0000001312	165	167	237	209	186	233	154	199
ENSG0000001313	477	385	464	417	465	475	403	477
ENSG0000001314	127	142	117	143	130	118	93	141
ENSG0000001315	65	51	36	81	51	51	63	44
ENSG0000001316	18	6	7	7	2	11	4	4
ENSG0000001317	24	10	16	12	14	18	15	15
ENSG0000001318	29	37	33	25	32	32	52	31
ENSG0000001319	15	25	21	12	15	32	10	29
ENSG0000001320	43	42	53	30	34	30	35	24
ENSG0000001321	51	54	69	50	44	63	70	61
ENSG0000001322	105	129	135	128	124	114	110	80
ENSG0000001323	52	56	55	59	48	53	57	40
ENSG0000001324	134	113	127	91	97	125	124	104
ENSG0000001325	61	73	67	71	51	51	59	72
ENSG0000001326	1	1	2	3	3	1	2	3
ENSG0000001327	7	11	13	16	19	12	13	16
ENSG0000001328	45	48	32	44	52	63	40	35
ENSG0000001329	13	7	8	9	8	14	5	7
ENSG0000001330	141	126	107	147	143	149	143	148
ENSG0000001331	568	558	601	520	521	581	569	546
ENSG0000001332	366	347	361	344	353	324	351	356
ENSG0000001333	45	56	61	33	46	33	36	50
ENSG0000001334	528	494	474	535	491	477	465	584
ENSG0000001335	59	70	74	88	73	72	62	73
ENSG0000001336	25	37	35	29	21	19	26	36
ENSG0000001337	20	20	25	17	22	23	8	26
ENSG0000001338	31	49	19	40	24	43	30	39
ENSG0000001339	18	26	26	24	31	29	31	34
ENSG0000001340	73	63	79	76	65	55	61	74
ENSG0000001341	49	59	57	87	88	62	61	85
ENSG0000001342	62	44	60	61	51	74	46	54
ENSG0000001343	101	113	89	84	111	96	109	101
ENSG0000001344	304	302	368	320	376	392	332	311
ENSG0000001345	198	264	244	234	239	233	248	223
ENSG0000001346	11	6	5	6	9	3	8	4
ENSG0000001347	2	1	0	2	0	2	0	1
ENSG0000001348	201	209	206	210	222	219	250	214
ENSG0000001349	6	5	3	2	7	2	5	6
ENSG0000001350	25	42	48	52	36	47	44	47
ENSG0000001351	14	9	9	12	15	8	8	15
ENSG0000001352	5	4	3	5	2	4	0	3
ENSG0000001353	115	97	136	116	101	99	128	120
ENSG0000001354	162	163	173	185	173	200	153	172
ENSG0000001355	21	39	25	10	22	23	20	34
ENSG0000001356	3	0	2	0	1	2	1	2
ENSG0000001357	22	25	25	20	30	30	25	30
ENSG0000001358	86	118	96	109	90	93	96	76
ENSG0000001359	7	9	1	8	7	9	3	10
ENSG0000001360	89	74	52	58	48	100	64	69
ENSG0000001361	56	54	53	54	53	41	59	51
ENSG0000001362	143	115	127	112	130	128	119	132
ENSG0000001363	62	46	70	59	72	61	62	60
ENSG0000001364	10	25	16	9	2	16	11	20
ENSG0000001365	331	307	309	348	295	352	336	354
ENSG0000001366	45	40	50	35	32	46	42	44
ENSG0000001367	63	53	55	64	49	54	64	58
ENSG0000001368	15	16	21	11	21	23	9	12
ENSG0000001369	33	29	26	19	26	34	40	26
ENSG0000001370	6	14	9	17	23	13	14	23
ENSG0000001371	59	46	49	33	33	43	49	27
ENSG0000001372	750	708	737	703	738	618	781	631
ENSG0000001373	5	12	2	4	11	5	2	11
ENSG0000001374	3	4	4	6	12	8	7	11
ENSG0000001375	525	565	463	489	549	455	493	447
ENSG0000001376	38	44	40	27	63	35	38	57
ENSG0000001377	31	18	16	33	24	33	28	28
ENSG0000001378	276	241	270	274	318	314	254	220
ENSG0000001379	13	27	17	33	33	23	13	27
ENSG0000001380	839	883	861	836	770	840	859	822
ENSG0000001381	175	161	140	165	152	126	164	126
ENSG0000001382	31	34	20	25	28	23	24	30
ENSG0000001383	1436	1376	1407	1355	1375	1414	1369	1380
ENSG0000001384	18	27	16	16	32	23	25	17
ENSG0000001385	197	168	157	166	159	169	167	186
ENSG0000001386	74	78	90	85	98	81	93	58
ENSG0000001387	453	423	415	391	383	371	366	378
ENSG0000001388	578	611	596	595	539	621	545	587
ENSG0000001389	59	56	40	57	43	63	41	64
ENSG0000001390	28	18	32	29	6	26	7	22
ENSG0000001391	92	123	101	98	102	100	95	89
ENSG0000001392	30	22	25	34	20	17	24	18
ENSG0000001393	1080	1137	1058	1068	1158	1060	1057	1107
ENSG0000001394	65	88	55	58	69	55	51	56
ENSG0000001395	14	39	27	23	26	32	34	33
ENSG0000001396	51	74	66	92	58	71	69	63
ENSG0000001397	4	6	10	13	5	2	13	12
ENSG0000001398	12	14	8	16	14	11	8	20
ENSG0000001399	297	337	390	280	334	353	326	310
ENSG0000001400	21	20	16	23	22	11	20	19
ENSG0000001401	8	10	12	8	9	15	11	8
ENSG0000001402	84	120	102	89	153	112	125	128
ENSG0000001403	323	349	348	348	339	317	316	331
ENSG0000001404	163	154	166	138	151	143	159	160
ENSG0000001405	249	257	241	235	225	251	249	229
ENSG0000001406	18	31	21	18	16	18	21	24
ENSG0000001407	9	9	9	4	10	8	5	11
ENSG0000001408	488	567	528	515	500	498	526	530
ENSG0000001409	27	26	36	30	31	34	37	47
ENSG0000001410	38	26	19	48	35	40	25	38
ENSG0000001411	358	430	426	358	416	386	369	399
ENSG0000001412	126	133	132	119	143	137	118	147
ENSG0000001413	97	109	140	116	113	136	103	98
ENSG0000001414	1301	1332	1334	1350	1329	1406	1333	1398
ENSG0000001415	13	17	29	20	42	23	32	25
ENSG0000001416	236	227	198	223	181	229	232	226
ENSG0000001417	67	48	69	78	60	51	41	53
ENSG0000001418	78	60	74	97	80	75	77	90
ENSG0000001419	491	526	549	541	633	560	526	600
ENSG0000001420	129	117	114	118	131	101	106	111
ENSG0000001421	107	120	135	119	114	108	120	121
ENSG0000001422	267	269	282	244	263	290	284	270
ENSG0000001423	28	29	34	43	32	30	26	32
ENSG0000001424	7	17	20	7	9	11	17	27
ENSG0000001425	15	11	11	22	6	17	8	17
ENSG0000001426	0	5	2	3	0	4	2	2
ENSG0000001427	1142	1233	1172	1289	1229	1262	1167	1251
ENSG0000001428	16	10	26	8	14	14	12	3
ENSG0000001429	48	35	54	35	42	31	26	45
ENSG0000001430	36	50	15	31	41	37	34	31
ENSG0000001431	83	56	95	86	94	104	72	98
ENSG0000001432	198	189	148	203	189	185	213	205
ENSG0000001433	219	215	206	230	228	207	218	200
ENSG0000001434	40	33	14	22	26	23	11	29
ENSG0000001435	68	49	35	43	38	59	34	38
ENSG0000001436	94	67	80	90	79	103	77	86
ENSG0000001437	38	39	30	34	36	41	35	31
ENSG0000001438	565	604	606	636	670	586	594	572
ENSG0000001439	111	108	126	103	87	115	117	117
ENSG0000001440	159	157	135	204	172	161	196	197
ENSG0000001441	119	145	151	135	132	167	148	140
ENSG0000001442	303	311	336	315	355	328	294	313
ENSG0000001443	80	52	57	52	63	83	50	61
ENSG0000001444	12	2	13	14	8	8	4	7
ENSG0000001445	91	87	86	106	113	82	76	72
ENSG0000001446	20	28	26	20	21	19	15	19
ENSG0000001447	33	24	35	31	24	27	22	29
ENSG0000001448	132	147	135	123	118	119	144	158
ENSG0000001449	349	349	378	356	314	382	356	390
ENSG0000001450	51	49	62	50	55	54	67	51
ENSG0000001451	112	98	86	70	126	71	95	100
ENSG0000001452	726	697	703	658	667	739	722	775
ENSG0000001453	92	76	82	60	81	62	84	80
ENSG0000001454	2735	2761	2752	2776	2686	2724	2735	2721
ENSG0000001455	114	131	132	124	144	114	142	142
ENSG0000001456	0	3	4	10	2	2	1	9
ENSG0000001457	139	141	145	170	153	172	167	177
ENSG0000001458	89	114	92	65	103	87	106	101
ENSG0000001459	415	428	393	355	377	344	415	398
ENSG0000001460	149	199	131	144	136	143	130	149
ENSG0000001461	40	34	38	39	48	45	35	21
ENSG0000001462	4	10	6	7	8	10	7	4
ENSG0000001463	44	45	36	39	43	47	34	40
ENSG0000001464	9	17	18	18	18	13	22	10
ENSG0000001465	24	12	19	20	31	11	16	24
ENSG0000001466	133	122	133	120	129	164	135	119
ENSG0000001467	685	696	644	643	620	651	619	647
ENSG0000001468	111	85	85	84	136	118	108	103
ENSG0000001469	3	2	11	7	12	12	9	5
ENSG0000001470	89	103	125	100	118	122	92	120
ENSG0000001471	332	350	355	279	317	327	310	290
ENSG0000001472	17	17	30	17	17	16	30	13
ENSG0000001473	54	49	48	48	69	53	36	45
ENSG0000001474	46	73	53	50	58	76	50	54
ENSG0000001475	14	17	11	13	22	29	6	13
ENSG0000001476	163	188	148	120	144	122	164	169
ENSG0000001477	47	39	47	36	46	44	40	48
ENSG0000001478	126	134	120	111	96	103	110	115
ENSG0000001479	7	16	9	8	10	9	18	15
ENSG0000001480	42	31	26	23	16	28	41	26
ENSG0000001481	169	152	145	166	135	121	170	189
ENSG0000001482	23	41	41	29	32	33	45	28
ENSG0000001483	736	716	754	764	703	759	785	675
ENSG0000001484	29	27	30	35	41	27	23	32
ENSG0000001485	71	73	76	60	96	75	80	68
ENSG0000001486	246	259	231	236	229	212	228	213
ENSG0000001487	5	11	8	2	3	4	4	5
ENSG0000001488	2	3	6	2	6	3	3	4
ENSG0000001489	13	4	8	7	11	5	4	5
ENSG0000001490	330	338	322	374	351	377	297	337
ENSG0000001491	45	23	25	30	15	30	27	12
ENSG0000001492	2552	2605	2529	2500	2478	2475	2575	2549
ENSG0000001493	15	25	17	23	22	27	21	34
ENSG0000001494	68	65	78	77	67	56	75	75
ENSG0000001495	522	599	619	530	569	557	532	530
ENSG0000001496	1145	1113	1112	1073	1060	1076	1062	1201
ENSG0000001497	1259	1165	1158	1209	1095	1331	1204	1287
ENSG0000001498	310	319	348	343	346	344	320	295
ENSG0000001499	273	269	228	239	244	260	219	229
ENSG0000001500	141	124	133	136	161	107	144	146
ENSG0000001501	181	182	146	176	172	179	177	152
ENSG0000001502	20	13	20	30	19	28	14	24
ENSG0000001503	10	13	13	15	6	11	18	20
ENSG0000001504	53	51	50	52	52	60	59	50
ENSG0000001505	43	46	25	44	46	49	33	42
ENSG0000001506	28	16	20	35	17	31	31	23
ENSG0000001507	124	160	167	159	133	172	145	161
ENSG0000001508	194	173	255	232	224	207	215	253
ENSG0000001509	54	47	65	39	53	57	84	54
ENSG0000001510	466	472	513	514	532	506	485	484
ENSG0000001511	17	5	24	17	12	6	4	16
ENSG0000001512	50	49	46	43	33	47	34	35
ENSG0000001513	29	19	27	14	22	18	13	19
ENSG0000001514	3	10	3	3	2	3	11	3
ENSG0000001515	61	50	62	46	58	39	54	60
ENSG0000001516	53	63	36	52	25	43	43	59
ENSG0000001517	466	524	535	586	566	527	498	557
ENSG0000001518	140	124	141	133	158	159	128	137
ENSG0000001519	7	20	11	15	14	10	15	16
ENSG0000001520	917	920	861	788	898	890	917	844
ENSG0000001521	305	376	372	349	297	288	346	347
ENSG0000001522	129	112	118	101	123	147	138	138
ENSG0000001523	40	39	50	27	40	57	39	41
ENSG0000001524	18	8	10	10	13	6	17	12
ENSG0000001525	33	27	35	25	34	49	39	27
ENSG0000001526	299	312	228	256	266	318	292	266
ENSG0000001527	851	951	929	906	987	908	882	961
ENSG0000001528	554	541	587	623	553	529	517	543
ENSG0000001529	24	27	32	18	39	28	28	27
ENSG0000001530	8	5	10	3	9	14	23	8
ENSG0000001531	75	61	62	65	79	41	72	45
ENSG0000001532	0	3	6	4	1	1	2	4
ENSG0000001533	95	76	100	96	97	85	93	75
ENSG0000001534	36	50	47	40	42	48	42	39
ENSG0000001535	17	18	30	28	17	25	31	27
ENSG0000001536	3	4	2	6	8	7	6	6
ENSG0000001537	134	137	142	120	110	129	119	108
ENSG0000001538	40	34	16	26	33	7	24	22
ENSG0000001539	8	8	9	8	14	19	8	7
ENSG0000001540	0	0	2	1	0	1	1	1
ENSG0000001541	46	47	50	47	45	40	71	49
ENSG0000001542	808	785	751	799	742	836	812	759
ENSG0000001543	687	674	649	659	631	589	686	626
ENSG0000001544	29	31	33	25	28	25	25	18
ENSG0000001545	30	21	22	16	26	25	12	41
ENSG0000001546	124	134	93	99	99	106	128	103
ENSG0000001547	18	12	10	10	11	12	9	12
ENSG0000001548	83	90	73	83	72	77	99	94
ENSG0000001549	198	211	167	150	152	176	186	200
ENSG0000001550	324	322	394	336	397	335	371	320
ENSG0000001551	53	60	47	48	55	58	49	50
ENSG0000001552	41	57	34	33	37	42	42	43
ENSG0000001553	6	11	9	14	12	22	4	17
ENSG0000001554	6	4	15	25	8	14	24	10
ENSG0000001555	47	51	29	52	42	40	30	37
ENSG0000001556	97	80	110	102	91	100	102	90
ENSG0000001557	203	205	254	212	194	192	197	199
ENSG0000001558	22	16	14	12	25	21	20	30
ENSG0000001559	501	589	477	470	442	546	525	561
ENSG0000001560	28	43	56	46	36	42	33	37
ENSG0000001561	42	52	42	54	60	44	53	54
ENSG0000001562	28	38	12	21	23	15	20	13
ENSG0000001563	2	0	1	0	2	2	0	1
ENSG0000001564	215	177	212	216	228	169	221	221
ENSG0000001565	157	147	186	183	183	159	175	162
ENSG0000001566	33	39	32	41	56	20	23	45
ENSG0000001567	70	45	67	71	72	63	65	63
ENSG0000001568	133	124	133	95	150	122	128	102
ENSG0000001569	1	6	2	14	8	5	2	2
ENSG0000001570	25	6	25	22	30	23	29	23
ENSG0000001571	201	170	187	163	160	201	180	208
ENSG0000001572	12	6	11	7	8	13	3	9
ENSG0000001573	71	76	93	99	89	92	84	68
ENSG0000001574	7	5	8	21	17	8	2	5
ENSG0000001575	89	124	101	103	131	141	124	123
ENSG0000001576	61	49	57	58	67	32	41	69
ENSG0000001577	6	5	2	6	7	8	8	3
ENSG0000001578	346	324	327	350	321	315	274	341
ENSG0000001579	21	5	23	15	24	17	21	20
ENSG0000001580	4	12	8	20	8	10	12	18
ENSG0000001581	83	79	87	85	86	76	75	59
ENSG0000001582	318	335	289	315	350	288	305	308
ENSG0000001583	10	5	14	11	15	13	12	14
ENSG0000001584	78	50	58	76	52	65	52	46
ENSG0000001585	90	113	87	115	104	108	82	96
ENSG0000001586	148	140	130	161	128	137	163	178
ENSG0000001587	85	75	95	81	48	52	60	67
ENSG0000001588	36	35	30	29	33	29	27	30
ENSG0000001589	14	12	28	16	20	20	22	12
ENSG0000001590	58	74	79	59	58	58	59	49
ENSG0000001591	15	9	10	17	3	10	4	2
ENSG0000001592	1	1	3	0	1	1	1	1
ENSG0000001593	84	94	121	115	87	110	102	92
ENSG0000001594	214	260	210	215	226	177	220	222
ENSG0000001595	0	5	2	1	1	3	2	1
ENSG0000001596	15	12	20	17	16	9	12	19
ENSG0000001597	123	159	125	127	149	127	150	131
ENSG0000001598	1198	1172	1143	1179	1183	1195	1155	1193
ENSG0000001599	71	46	56	85	65	59	65	50
ENSG0000001600	12	18	38	20	11	22	15	23
ENSG0000001601	36	35	42	35	38	31	49	57
ENSG0000001602	446	457	424	405	451	426	423	470
ENSG0000001603	24	16	28	26	13	23	14	25
ENSG0000001604	32	10	6	2	13	10	10	21
ENSG0000001605	20	29	33	26	30	27	35	32
ENSG0000001606	10	4	19	23	13	8	7	15
ENSG0000001607	60	69	52	57	71	62	76	55
ENSG0000001608	644	668	651	628	598	611	656	566
ENSG0000001609	95	100	109	85	101	88	103	75
ENSG0000001610	47	33	45	30	31	31	56	47
ENSG0000001611	45	32	39	47	34	30	41	41
ENSG0000001612	3	3	1	7	3	4	6	5
ENSG0000001613	194	203	181	202	172	230	196	192
ENSG0000001614	43	44	62	59	47	66	39	47
ENSG0000001615	53	56	42	55	36	57	48	46
ENSG0000001616	6675	6359	6481	6591	6486	6483	6418	6562
ENSG0000001617	64	97	71	71	81	83	103	87
ENSG0000001618	9	22	24	28	20	25	23	13
ENSG0000001619	36	24	37	25	26	38	24	26
ENSG0000001620	338	327	331	304	298	308	294	340
ENSG0000001621	58	72	74	75	87	77	68	51
ENSG0000001622	0	7	1	2	13	10	12	4
ENSG0000001623	221	222	210	204	196	220	215	255
ENSG0000001624	9	26	13	11	13	16	19	15
ENSG0000001625	921	820	933	951	893	868	947	853
ENSG0000001626	314	269	276	260	272	276	236	292
ENSG0000001627	29	32	23	32	33	17	19	24
ENSG0000001628	373	361	358	346	405	399	367	396
ENSG0000001629	64	52	64	64	54	56	58	68
ENSG0000001630	236	194	193	219	207	175	185	208
ENSG0000001631	114	112	109	93	83	103	123	113
ENSG0000001632	19	15	23	13	11	13	18	19
ENSG0000001633	18	28	15	15	25	22	18	29
ENSG0000001634	212	239	255	254	258	250	250	321
ENSG0000001635	41	48	24	26	42	37	31	43
ENSG0000001636	37	29	39	39	18	44	26	24
ENSG0000001637	22	9	15	8	11	7	11	16
ENSG0000001638	121	118	106	107	118	111	120	119
ENSG0000001639	1193	1187	1152	1103	1216	1118	1264	1106
ENSG0000001640	10	14	13	11	9	6	13	17
ENSG0000001641	74	67	68	58	64	48	49	44
ENSG0000001642	489	461	453	490	458	437	458	414
ENSG0000001643	52	33	42	47	63	33	55	53
ENSG0000001644	105	114	96	81	81	116	104	100
ENSG0000001645	16	11	10	9	14	9	11	15
ENSG0000001646	82	120	124	97	77	108	115	106
ENSG0000001647	34	49	38	41	33	28	37	42
ENSG0000001648	235	238	241	252	253	257	236	223
ENSG0000001649	322	307	325	314	339	312	369	392
ENSG0000001650	2620	2694	2696	2505	2538	2604	2621	2731
ENSG0000001651	142	139	124	118	119	151	153	114
ENSG0000001652	107	100	84	113	73	77	75	97
ENSG0000001653	78	71	85	77	88	86	67	53
ENSG0000001654	29	24	27	39	32	33	22	37
ENSG0000001655	95	61	80	104	73	103	84	79
ENSG0000001656	19	15	34	33	46	22	33	42
ENSG0000001657	95	67	78	73	68	47	72	92
ENSG0000001658	392	403	393	392	425	384	413	373
ENSG0000001659	21	9	11	11	4	7	7	2
ENSG0000001660	310	270	309	310	312	318	297	273
ENSG0000001661	406	398	422	416	327	411	342	346
ENSG0000001662	65	42	74	57	44	37	52	47
ENSG0000001663	1	2	1	2	1	0	2	3
ENSG0000001664	12	21	25	19	22	23	21	14
ENSG0000001665	323	391	362	345	409	408	386	390
ENSG0000001666	35	43	43	47	60	54	43	61
ENSG0000001667	9	11	25	6	10	6	15	9
ENSG0000001668	14	25	22	39	23	39	21	26
ENSG0000001669	193	201	198	223	208	187	216	178
ENSG0000001670	114	130	138	125	117	140	117	124
ENSG0000001671	29	54	36	39	57	43	33	42
ENSG0000001672	39	35	46	43	29	22	31	26
ENSG0000001673	31	41	16	33	27	29	25	16
ENSG0000001674	20	11	9	12	13	8	12	17
ENSG0000001675	644	650	638	585	624	604	643	636
ENSG0000001676	23	36	35	34	29	40	29	29
ENSG0000001677	388	296	369	330	361	308	335	354
ENSG0000001678	559	505	558	484	504	578	522	508
ENSG0000001679	234	224	227	242	259	231	201	233
ENSG0000001680	25	18	29	33	24	34	31	44
ENSG0000001681	93	68	105	100	126	138	75	120
ENSG0000001682	38	61	45	55	39	43	56	51
ENSG0000001683	18	17	30	11	13	16	19	9
ENSG0000001684	91	80	96	90	66	72	69	99
ENSG0000001685	11	12	13	9	3	5	9	11
ENSG0000001686	325	328	306	291	315	282	300	291
ENSG0000001687	41	21	23	17	25	28	29	26
ENSG0000001688	57	63	59	126	65	74	89	80
ENSG0000001689	86	77	67	84	92	72	69	87
ENSG0000001690	43	37	26	57	36	37	44	45
ENSG0000001691	129	140	131	152	128	135	127	131
ENSG0000001692	13	34	22	28	27	37	31	34
ENSG0000001693	202	166	230	227	205	194	215	178
ENSG0000001694	1	2	7	1	9	9	3	10
ENSG0000001695	82	57	62	85	52	76	61	58
ENSG0000001696	1061	1045	1000	1027	949	987	961	974
ENSG0000001697	14	22	9	19	23	15	17	19
ENSG0000001698	12	13	21	40	15	20	19	23
ENSG0000001699	124	137	109	114	128	125	113	106
ENSG0000001700	76	83	69	94	78	56	55	65
ENSG0000001701	92	99	88	84	77	73	102	96
ENSG0000001702	116	130	107	116	102	97	102	109
ENSG0000001703	135	169	112	137	147	146	171	145
ENSG0000001704	397	290	309	280	308	281	263	289
ENSG0000001705	121	115	106	85	107	113	115	95
ENSG0000001706	45	42	52	45	39	38	57	41
ENSG0000001707	145	145	151	139	134	131	139	130
ENSG0000001708	968	932	1038	947	923	899	929	960
ENSG0000001709	34	36	34	46	47	41	28	41
ENSG0000001710	9	22	20	18	9	13	17	8
ENSG0000001711	281	283	286	297	323	306	268	296
ENSG0000001712	30	40	52	32	67	49	60	52
ENSG0000001713	2	1	3	1	3	1	5	0
ENSG0000001714	194	230	193	197	222	178	216	190
ENSG0000001715	19	21	21	26	28	16	35	37
ENSG0000001716	55	38	48	41	46	41	25	65
ENSG0000001717	96	95	107	77	89	126	80	106
ENSG0000001718	59	55	66	40	50	61	85	69
ENSG0000001719	149	144	195	184	151	155	149	148
ENSG0000001720	34	16	16	34	41	28	27	35
ENSG0000001721	142	123	154	92	114	109	125	92
ENSG0000001722	36	18	32	40	27	28	50	30
ENSG0000001723	164	157	204	159	178	167	157	137
ENSG0000001724	175	136	155	153	109	141	140	139
ENSG0000001725	14	14	6	16	11	14	9	10
ENSG0000001726	278	298	302	212	340	270	239	276
ENSG0000001727	22	20	27	23	28	29	19	28
ENSG0000001728	166	145	192	175	164	143	215	200
ENSG0000001729	89	82	91	85	100	98	86	85
ENSG0000001730	803	792	873	941	895	859	861	825
ENSG0000001731	48	27	36	49	39	36	36	33
ENSG0000001732	33	35	37	23	32	29	39	44
ENSG0000001733	56	72	64	46	70	53	48	55
ENSG0000001734	29	24	40	50	41	43	44	14
ENSG0000001735	167	165	149	199	191	205	205	191
ENSG0000001736	2	9	12	7	10	11	1	3
ENSG0000001737	13	25	9	20	7	16	11	12
ENSG0000001738	5	14	11	10	8	2	13	12
ENSG0000001739	236	258	242	237	213	227	184	240
ENSG0000001740	762	782	718	751	722	663	679	690
ENSG0000001741	42	67	44	35	43	55	61	40
ENSG0000001742	38	28	27	35	44	41	25	47
ENSG0000001743	62	59	63	41	71	56	62	55
ENSG0000001744	289	312	350	263	318	306	328	296
ENSG0000001745	14	9	9	9	6	11	10	17
ENSG0000001746	81	77	91	97	64	77	85	67
ENSG0000001747	242	238	224	218	264	249	212	211
ENSG0000001748	124	104	108	109	114	106	133	107
ENSG0000001749	86	101	70	75	70	76	62	60
ENSG0000001750	252	198	258	288	279	280	229	252
ENSG0000001751	4	1	1	1	0	2	2	0
ENSG0000001752	151	162	137	149	156	164	148	151
ENSG0000001753	26	12	22	26	20	25	12	34
ENSG0000001754	3	5	3	2	3	3	3	4
ENSG0000001755	110	113	114	122	121	128	105	136
ENSG0000001756	411	405	461	362	472	423	408	433
ENSG0000001757	35	53	43	38	23	33	35	31
ENSG0000001758	218	233	259	214	238	203	217	219
ENSG0000001759	614	622	653	631	656	666	651	661
ENSG0000001760	431	396	418	451	407	395	388	354
ENSG0000001761	611	657	718	647	637	646	644	683
ENSG0000001762	156	150	166	168	179	196	192	166
ENSG0000001763	58	77	62	55	68	64	58	60
ENSG0000001764	10	3	7	3	3	4	5	7
ENSG0000001765	44	44	27	37	51	39	60	40
ENSG0000001766	13	20	16	17	11	7	14	16
ENSG0000001767	1431	1425	1388	1452	1360	1439	1444	1447
ENSG0000001768	37	32	34	36	37	40	41	39
ENSG0000001769	85	78	69	68	56	80	69	62
ENSG0000001770	130	114	113	145	150	144	92	116
ENSG0000001771	80	51	50	60	59	48	39	64
ENSG0000001772	698	696	747	680	704	693	765	659
ENSG0000001773	26	20	16	25	13	18	19	29
ENSG0000001774	86	71	74	80	70	68	60	68
ENSG0000001775	28	9	22	25	24	12	13	16
ENSG0000001776	7	11	11	10	6	1	8	2
ENSG0000001777	15	26	7	26	26	15	25	23
ENSG0000001778	72	46	36	49	70	51	49	40
ENSG0000001779	25	25	37	23	22	32	35	35
ENSG0000001780	36	15	31	26	25	44	18	17
ENSG0000001781	5	7	7	3	5	10	6	7
ENSG0000001782	48	51	56	30	73	57	51	64
ENSG0000001783	6	5	8	9	11	0	7	6
ENSG0000001784	158	154	164	167	174	173	134	144
ENSG0000001785	59	70	66	74	54	64	52	56
ENSG0000001786	4	8	3	5	7	6	9	9
ENSG0000001787	30	43	40	45	39	35	27	45
ENSG0000001788	13	13	7	23	19	27	19	21
ENSG0000001789	88	47	126	97	83	60	79	83
ENSG0000001790	415	395	408	408	400	359	427	459
ENSG0000001791	3	1	7	7	3	2	4	4
ENSG0000001792	83	56	56	75	72	79	49	68
ENSG0000001793	40	53	50	55	40	48	44	35
ENSG0000001794	151	129	138	150	145	182	125	157
ENSG0000001795	69	87	60	86	80	103	67	80
ENSG0000001796	19	18	27	13	37	23	9	17
ENSG0000001797	35	29	44	18	60	22	33	47
ENSG0000001798	33	8	8	14	21	13	12	11
ENSG0000001799	312	301	251	275	310	242	289	259
ENSG0000001800	54	64	55	53	56	56	59	62
ENSG0000001801	946	981	924	998	1001	905	885	975
ENSG0000001802	31	81	51	52	48	45	60	45
ENSG0000001803	14	18	22	31	20	21	12	23
ENSG0000001804	4	6	4	5	5	2	10	13
ENSG0000001805	4	4	0	1	2	7	4	3
ENSG0000001806	6	9	2	5	1	1	3	5
ENSG0000001807	79	80	75	81	77	83	83	70
ENSG0000001808	106	116	127	108	101	127	124	114
ENSG0000001809	11	7	4	2	3	5	2	2
ENSG0000001810	223	178	203	189	222	178	202	159
ENSG0000001811	22	27	29	21	24	24	28	40
ENSG0000001812	69	51	69	52	57	53	55	90
ENSG0000001813	587	555	640	599	599	599	598	654
ENSG0000001814	190	191	215	223	199	206	176	243
ENSG0000001815	22	44	32	42	20	57	46	51
ENSG0000001816	19	19	8	18	19	16	13	16
ENSG0000001817	1	1	4	3	0	0	1	0
ENSG0000001818	16	13	20	19	23	28	13	30
ENSG0000001819	46	33	34	50	27	34	34	34
ENSG0000001820	20	26	17	19	22	14	15	10
ENSG0000001821	25	46	41	48	32	50	37	29
ENSG0000001822	53	72	70	60	46	41	46	82
ENSG0000001823	37	31	40	42	41	52	32	41
ENSG0000001824	24	20	25	8	26	19	22	14
